"composerName","workTitle"
"Nini,  Alessandro","IDA DELLA TORRE"
"Donizetti,  Gaetano","LUCIA DI LAMMERMOOR"
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 41, C MAJOR, K.551, ""JUPITER"""
"Hummel,  Johann","SEPTET, D MINOR, OP. 74"
"Kalliwoda,  Johann  W.","OVERTURE, F MAJOR"
"Bellini,  Vincenzo","LA SONNAMBULA"
"Reicha,  Antoine(-Joseph)","QUINTET"
"Herold,  Louis  Joseph Ferdinand [Hérold]","ZAMPA"
"Spohr,  Louis","SYMPHONY NO. 2, D MINOR, OP. 49"
"Bochsa,  Robert  N. C.","DIALOGO BRILLIANTE"
"Rossini,  Gioachino","SEMIRAMIDE"
"Hummel,  Johann","CONCERTO, PIANO, B MINOR"
"Weber,  Carl  Maria Von","EURYANTHE, OP. 81, J. 291"
"Vieuxtemps,  Henri","FANTASIA POUR LE VIOLON SUR LA QUATRIEME CORDE"
"Donizetti,  Gaetano","ARIA [UNSPECIFIED]"
"Weber,  Carl  Maria Von","RULER OF THE SPIRITS: OVERTURE, OP. 27"
"Beethoven,  Ludwig  van","SYMPHONY NO. 8 IN F MAJOR, OP.93"
"Donizetti,  Gaetano","L'ELISIR D'AMORE"
"Mendelssohn,  Felix","HEBRIDES (FINGAL'S CAVE) OVERTURE, OP.26"
"Donizetti,  Gaetano","CONVENIENSI TEATRALI"
"Donizetti,  Gaetano","BELISARIO"
"Lindpaintner,  Peter  Von","WAR JUBILEE"
"Haydn,  Franz  Joseph","SYMPHONY NO.   3, G MAJOR"
"Weber,  Carl  Maria Von","CONCERTINO, CLARINET,  E FLAT MAJOR, OP. 26"
"Spohr,  Louis","JESSONDA"
"Mozart,  Wolfgang  Amadeus","CLEMENZA DI TITO, LA, K.621"
"Marschner,  Heinrich  August","VAMPYR, LE, OP. 42"
"Donizetti,  Gaetano","RONDO-FINALE, ""CHE D'ALLA GIOJA"""
"Lindpaintner,  Peter  Von","SINFONIA CONCERTANTE NO. 2"
"Bennett,  William  Sterndale","DIE NAJADEN, OP.15"
"Meyerbeer,  Giacomo","ROBERT LE DIABLE"
"Ries,  Ferdinand","GROSSE FEST-OVERTURE UND SIEGESMARSCH"
"Mendelssohn,  Felix","MELUSINE: OVERTURE"
"Kreutzer,  Conradin","NACHTLAGER IN GRANADA, DAS"
"Hummel,  Johann","GRAND PIANO FANTASIA (OBERON'S ZAUBERHORN)"
"Meyerbeer,  Giacomo","CROCIATO IN EGITTO, IL"
"Mendelssohn,  Felix","SYMPHONY NO. 3, A MINOR, OP.56 (SCOTTISH)"
"Cherubini,  Luigi","ANACRÉON, OU L'AMOUR FUGITIF"
"Mercadante,  Giuseppe  Saverio","NITOCRI"
"Traditional,","SOLO, HARP"
"Heller,  Stephen [István]","FANTASIA ON THEMES FROM OPERA, CHARLES VI"
"Mehul [Méhul],  Etienne  Nicolas","DE LA CHASSE DU JEUNE HENRI"
"Loder,  George, Jr.","MARMION"
"Mendelssohn,  Felix","CONCERTO, PIANO, NO. 1, G MINOR, OP.25"
"Beriot,  Charles-Auguste  de","CONCERTO, VIOLIN, NO. 4, OP. 46"
"Reissiger,  Karl  Gottlieb","CONCERT OVERTURE, OP. 128"
"Kalliwoda,  Johann  W.","SYMPHONY NO. 1"
"Cherubini,  Luigi","AVE MARIA"
"Rossini,  Gioachino","TANCREDI"
"Furstenau,  Anton  Bernhard","CONCERTO, FLUTE, NO. 5, OP.52"
"Berlioz,  Hector","FRANCS-JUGES, LES: OVERTURE"
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 40, G MINOR, K.550"
"Beethoven,  Ludwig  van","SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL)"
"Traditional,","DUETTO, TWO CORNETS"
"Rossini,  Gioachino","GAZZA LADRA, LA"
"Donizetti,  Gaetano","ANNA BOLENA"
"Donizetti,  Gaetano","FALIERO"
"Verdi,  Giuseppe","LOMBARDI, I"
"Beethoven,  Ludwig  van","SYMPHONY NO. 9 IN D MINOR, OP.125"
"Spohr,  Louis","SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE)"
"Chopin,  Frédéric","CONCERTO, PIANO, NO. 1, E MINOR, OP. 11"
"Berlioz,  Hector","KING LEAR OVERTURE, OP. 4"
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 39, E-FLAT MAJOR, K.543"
"Bristow,  George  Frederick","CONCERT OVERTURE, OP.3"
"Spohr,  Louis","CONCERTO, VIOLIN, NO. 12, A MAJOR, OP. 79 (CONCERTINO NO. 1)"
"Mozart,  Wolfgang  Amadeus","DON GIOVANNI, K.527"
"Traditional,","DUETTO, GRAND, FLUTE, PIANO"
"Haydn,  Franz  Joseph","SHE NEVER TOLD HER LOVE, H.XXVIA.34"
"Hiller,  Ferdinand","CONCERT OVERTURE"
"Beriot,  Charles-Auguste  de","ARIA FOR OBOE"
"Mendelssohn,  Felix","JÄGER ABSCHIED, DER"
"Traditional,","CONCERTO, GRAND, VIOLIN"
"Eisenhofer,  Franz  Xaver","WALTZ"
"Mozart,  Wolfgang  Amadeus","MARRIAGE OF FIGARO, THE, K.492"
"Verdi,  Giuseppe","ERNANI"
"Dussek,  Jan  Ladislav","CONCERTO, TWO PIANOS"
"Lindpaintner,  Peter  Von","VAMPYR, DER"
"Mendelssohn,  Felix","ST. PAUL, OP. 36"
"Mendelssohn,  Felix","ELIJAH, OP.70"
"Mozart,  Wolfgang  Amadeus","REQUIEM, K.626 (ARR. Sussmayr)"
"Mendelssohn,  Felix","SYMPHONY NO. 2, B-FLAT MAJOR, OP. 52, ""LOBEGESANG"""
"Lindpaintner,  Peter  Von","SINFONIA CONCERTANTE NO. 1"
"Spohr,  Louis","SYMPHONY NO. 1, E FLAT MAJOR, OP. 20"
"Moscheles,  Ignaz","CONCERTO, PIANO, NO. 3, G MINOR, OP. 58"
"Lachner,  Franz","WEEP NOT FOR SORROW"
"Kalliwoda,  Johann  W.","OVERTURE, NO. 11, OP. 143"
"Gade,  Niels","SYMPHONY NO. 1, C MINOR, OP. 5"
"Vieuxtemps,  Henri","LAST CONCERTO: ADAGIO AND RONDO"
"Bennett,  William  Sterndale","OVERTURE, WOOD NYMPH, F MAJOR, OP.20"
"Weber,  Carl  Maria Von","KONZERTSTUCK IN F MINOR FOR PIANO, OP.79"
"Ries,  Ferdinand","TRIOMPHALE OVERTURE"
"Spohr,  Louis","SYMPHONY NO. 7, OP. 121 FOR TWO ORCHESTRAS"
"Jacobi,  Frederick","VARIATIONS FOR THE BASSOON"
"Granz,  Norman","BRILLIANT VARIATIONS FOR THE TRUMPET"
"Schmitz,  Henry","SOLO (WITH ECHO), FRENCH HORN"
"Schumann,  Robert","ANDANTE AND VARIATIONS, B FLAT MAJOR, OP. 46"
"Lachner,  Franz","SINFONIA PASSIONATA (PRIZE SYMPHONY)"
"Donizetti,  Gaetano","LUCIA DI LAMMERMOOR, ""SOFFRIVA NEL PIANTO""  (FOR SAXHORN QUARTET) (ARR. Unspecified)"
"Costa,  Sir  Michael","TERZETTO A CANONE, VANNE A COLEI"
"Beethoven,  Ludwig  van","SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60"
"Nicholson,  Charles","SOLO FOR FLUTE WITH ORCHESTRA"
"Mendelssohn,  Felix","CONCERTO, VIOLIN, E MINOR, OP.64"
"Mendelssohn,  Felix","CAPRICCIO BRILLANTE IN B MINOR, OP.22"
"Mendelssohn,  Felix","CALM SEA AND PROSPEROUS VOYAGE"
"Meyerbeer,  Giacomo","HUGUENOTS, LES"
"Maurer,  Ludwig  Wilhelm","CONCERTANTE FOR FOUR VIOLINS"
"Benedict,  Jules","CONCERTINO, OP.29"
"Fuchs,  H.","CONCERTINO FOR HORN AND ORCHESTRA"
"Schubert,  Franz","SYMPHONY NO. 9, C MAJOR, D.944 (GREAT)"
"Cherubini,  Luigi","LES DEUX JOURNEES"
"David,  Ferdinand","CONCERTO, VIOLIN, NO. 2, D MAJOR, OP.14"
"Spontini,  Gasparo","VESTALE, LA"
"Hummel,  Johann","GRAND CONCERTO, PIANO"
"Haydn,  Franz  Joseph","SYMPHONY IN B FLAT MAJOR (UNSPECIFIED)"
"Heinemeyer,  Ernst  Wilhelm","FANTASIE AND VARIATIONS FOR FLUTE"
"Dancla,  Jean  Charles","DUO CONCERTANTE, TWO VIOLINS"
"Wallace,  William  Vincent","ROMANCE: GO! THOU RESTLESS WIND!"
"Litolff,  Henry  Charles","ROBESPIERRE, OP. 55"
"Mendelssohn,  Felix","SYMPHONY NO. 4, A MAJOR, OP. 90 (ITALIAN)"
"Mehul [Méhul],  Etienne  Nicolas","JOSEPH"
"Beriot,  Charles-Auguste  de","CONCERTO, VIOLIN, NO. 6, OP. 70"
"Lindpaintner,  Peter  Von","FAUST"
"Reicha,  Antoine(-Joseph)","QUINTET NO. 2"
"Kalkbrenner,  Friedrich [Frédéric]","GRAND RONDEAU: LE GAGE D'AMITIE"
"Schubert,  Franz","THINE IS MY HEART"
"Schubert,  Franz","WINTERREISE, D.911"
"Mendelssohn,  Felix","CONCERTO, PIANO, NO. 2, D MINOR , OP.40"
"Wallace,  William  Vincent","THE HAPPY BIRDLING"
"Haase,  Carl  F.W.","CARNIVAL OF VENICE"
"Mendelssohn,  Felix","PRECIOSA: GRAND DUO ON BOHEMIAN MARCH (ARR. Moscheles)"
"Ries,  Ferdinand","FESTIVAL OVERTURE AND MARCHE TRIOMPHALE, OP. 172"
"Mendelssohn,  Felix","WASSERFAHRT"
"Mendelssohn,  Felix","MAYBELLS AND THE FLOWERS, OP. 63, NO. 6"
"Gade,  Niels","ECHOES FROM OSSIAN, OP. 1"
"Abt,  Franz","POLISH MOTHER'S CRADLE SONG, THE"
"Maurer,  Ludwig  Wilhelm","VARIATIONS ON A THEME FROM MEHUL'S JOSEPH"
"Donizetti,  Gaetano","LINDA DI CHAMOUNIX"
"Gumbert,  Friedrich  Adolf","SPIELMANN'S LIED (MINSTREL'S LOVE SONG)"
"Paganini,  Nicolò","STREGHE, LE (DANSE DES SORCIERES), OP. 8"
"Fesca,  Alexander  (Ernst)","REMEMBER ME"
"Lobe,  Johann  Christian","CHARMES DU VOYAGE, LES, B FLAT MAJOR, OP. 26"
"Beriot,  Charles-Auguste  de","CONCERTO, VIOLIN, NO. 3, OP. 44"
"Mendelssohn,  Felix","JÄGERLIED  (QUARTET)"
"Mason,  William","SERENADE"
"Gade,  Niels","IN THE HIGHLANDS, D MAJOR, OP. 7"
"Schumann,  Robert","SYMPHONY NO. 1 IN B FLAT MAJOR, OP.38 (SPRING)"
"Beethoven,  Ludwig  van","LEONORE OVERTURE NO. 2, OP. 72A"
"Gockel,  August","POLICHINELL, CAPRICE BURLESQUE"
"Bordese,  Luigi","JEANNE D'ARC A ROUEN"
"Spohr,  Louis","SYMPHONY NO. 9, D MAJOR, OP. 143 (THE SEASONS)"
"Parish-Alvars,  Elias","GRAND FANTASIA ON OPERA THEMES"
"Vieuxtemps,  Henri","FANTASIE-CAPRICE, A MAJOR, OP.11"
"Fesca,  Alexander  (Ernst)","WANDERER, THE"
"Donizetti,  Gaetano","LUCIA DI LAMMERMOOR: FANTASIA ON THEMES FROM (HARP + ORCH.) (ARR. Aptommas)"
"Schumann,  Robert","SYMPHONY NO. 2, C MAJOR, OP. 61"
"Schubert,  Franz","ELLENSGESANG I-III, D.837-839 (ARR. Unspecified)"
"Weber,  Carl  Maria Von","ADAGIO AND RONDO, BASSON, F MAJOR"
"Handel,  George  Frideric","MESSIAH"
"Gade,  Niels","SYMPHONY NO. 4, B FLAT MAJOR, OP. 20"
"Lortzing,  Albert","ZAR UND ZIMMERMANN"
"Spohr,  Louis","CONCERTO, VIOLIN, NO. 14, OP. 110 (CONCERTINO NO. 3)"
"Spohr,  Louis","FAUST"
"Beethoven,  Ludwig  van","SYMPHONY NO. 1 IN C MAJOR, OP.21"
"Schneider,  Johann  C. Friedrich","SYMPHONY NO. 20, B MAJOR"
"Baumann,  F.","DUO CONCERTANTE ON THE AIR, ARABY'S DAUGHTER"
"Wallace,  William  Vincent","DUO CONCERTANTE ON A THEME OF HALEVY"
"Meyerbeer,  Giacomo","MOINE, LE"
"Traditional,","HOME, SWEET HOME ( SOLO HARP) (ARR. Aptommas)"
"Bellini,  Vincenzo","NORMA"
"Eisfeld,  Theodore","CONCERTINO FOR CLARINET"
"Lindpaintner,  Peter  Von","ABRAHAM'S SACRIFICE: OVERTURE"
"Donizetti,  Gaetano","LA FAVORITA"
"Sainton,  Prosper","FANTASIA ON THEMES FROM LUCREZIA BORGIA"
"Weber,  Carl  Maria Von","PRECIOSA, OP. 78"
"Rossini,  Gioachino","BARBIERE DI SIVIGLIA, IL (THE BARBER OF SEVILLE)"
"Schreiber,  Louis","CONCERTINO"
"Wallace,  William  Vincent","MARITANA"
"Fuchs,  H.","GUTTENBERG"
"Mozart,  Wolfgang  Amadeus","COSÌ FAN TUTTE, K.588"
"Beethoven,  Ludwig  van","CONCERTO, PIANO, NO. 5, E FLAT MAJOR, OP.73"
"Mendelssohn,  Felix","RUY BLAS, OP.95: OVERTURE"
"Fesca,  Alexander  (Ernst)","WINGED MESSENGER"
"Spontini,  Gasparo","OLYMPIA"
"Wagner,  Richard","TANNHAUSER, WWV 70"
"Mendelssohn,  Felix","LORELEI, OP.98"
"Eisfeld,  Theodore","CHANSON D'AMOUR, SOLO FOR TRUMPET À PISTONS"
"Schubert,  Franz","ERLKONIG [ERLKÖNIG], D.328"
"Mollenhauer,  Friedrich","CONCERTO, TWO VIOLINS, C MAJOR"
"Gluck,  Christoph  Willibald","IPHIGENIE IN AULIS"
"Dessauer,  Josef","LOCKUNG, DIE"
"Schubert,  Franz","STANDCHEN, D.889"
"Mollenhauer,  Friedrich","SYLPHIDE, LA"
"Mercadante,  Giuseppe  Saverio","NORMANNI A PARIGI, I"
"Weber,  Carl  Maria Von","CONCERTINO, HORN AND ORCHESTRA, OP.45"
"Parish-Alvars,  Elias","CONCERTO, HARP, C MAJOR"
"Verdi,  Giuseppe","TROVATORE, IL"
"Bristow,  George  Frederick","SYMPHONY NO. 2, D MINOR, OP.24 (JULLIEN)"
"Vieuxtemps,  Henri","CONCERTO, VIOLIN, NO. 1, E MAJOR, OP. 10"
"Verdi,  Giuseppe","ATTILA"
"Mollenhauer,  Friedrich","GRAND DUO FOR TWO VIOLINS"
"Marschner,  Heinrich  August","HANS HEILING, OP. 80"
"David,  Ferdinand","INTRODUCTION AND VARIATIONS, LOB DER TRÄNEN, OP. 15"
"Cherubini,  Luigi","MEDEA"
"Chopin,  Frédéric","ETUDES"
"Weber,  Carl  Maria Von","RONDO IN E FLAT MAJOR"
"Goldbeck,  Robert","LA CAVALCADE, ETUDE DE BRAVURA"
"Rode,  Jacques  Pierre Joseph","CONCERT VARIATIONS"
"Henselt,  Adolf  Von","CONCERTO, PIANO, F MINOR, OP. 16"
"Wagner,  Richard","FAUST OVERTURE, WWV 59"
"Pacini,  Giovanni","NIOBE"
"Gottschalk,  Louis  Moreau","MORCEAU DE CONCERT, TWO PIANOS"
"Schindelmeisser,  Ludwig","URIEL ACOSTA"
"Haydn,  Franz  Joseph","CREATION, THE, H.XXI:2"
"Ernst,  Heinrich  Wilhelm","RONDO PAPAGENO"
"Rietz,  Julius","CONCERT OVERTURE, A MAJOR, OP.7"
"Schumann,  Robert","INTRODUCTION AND ALLEGRO APPASSIONATO, OP. 92"
"Litolff,  Henry  Charles","CHANT DES BELGES, OP. 101"
"Goltermann,  Georg  Eduard","CONCERTO, CELLO"
"Schumann,  Robert","MANFRED, OP.115"
"Servais,  Adrien  Francois","GRAND FANTASIA FOR CELLO"
"Litolff,  Henry  Charles","CONCERT SYMPHONY NO. 3, PIANO, OP.45"
"Mercadante,  Giuseppe  Saverio","IL BRAVO"
"Nicolai,  Otto","MERRY WIVES OF WINDSOR, THE"
"Hiller,  Ferdinand","SYMPHONY , E MAJOR"
"Beethoven,  Ludwig  van","CORIOLAN OVERTURE, OP. 62"
"Meyerbeer,  Giacomo","PROPHÈTE, LE"
"Spohr,  Louis","CONCERTO, VIOLIN, NO.  8, A MINOR, OP. 47"
"Schumann,  Robert","OVERTURE, SCHERZO, AND FINALE, OP.52"
"Pacini,  Giovanni","DUET FOR VOICE AND VIOLIN"
"Gade,  Niels","SYMPHONY NO. 5, D MINOR, OP. 25"
"Spohr,  Louis","QUARTET CONCERTO, OP. 131"
"Lachner,  Franz","UBERALL DU"
"Schreiber,  Louis","FANTASIESTÜCK"
"Rossini,  Gioachino","ASSEDIO DI CORINTO, L'"
"Schubert,  Franz","FIERRABRAS, D.796"
"Wagner,  Richard","RIENZI, WWV 49"
"Haydn,  Franz  Joseph","SYMPHONY NO. 104, D MAJOR (LONDON)"
"Schumann,  Robert","SYMPHONY NO. 4, D MINOR, OP. 120"
"Topliffe,","CONSIDER THE LILLIES"
"Field,  John","NOTTURNO FOR PIANO, E-FLAT MAJOR"
"Rubinstein,  Anton","ETUDE, C MAJOR, OP. 23, NO. 2"
"Bristow,  George  Frederick","SYMPHONY NO. 3, F SHARP MINOR, OP.26"
"Schumann,  Robert","CONCERTO, PIANO, A MINOR, OP. 54"
"Lachner,  Franz","BEWUSTSEIN (REMEMBRANCE)"
"Liszt,  Franz","CONCERT-PARAPHRASE ON THEMES FROM A MIDSUMMER NIGHT'S DREAM"
"Mendelssohn,  Felix","SERENADE UND ALLEGRO GIOJOSO, OP.43"
"Liszt,  Franz","PRELUDES, LES (SYMPHONIC POEM NO. 3)"
"Arne,  Thomas","TEMPEST, THE"
"Litolff,  Henry  Charles","SPINNLIED, A FLAT MAJOR, OP. 51"
"Chopin,  Frédéric","POLONAISES"
"Napoleon,  Arthur","GRAND CAPRICE FOR PIANO ON AIRS FROM MARTHA"
"Wagner,  Richard","LOHENGRIN"
"Stigelli,  Giorgio","DIE THRANE (THE TEAR)"
"Mendelssohn,  Felix","INFELICE, OP.94"
"Satter,  Gustave","FESTIVAL POLONAISE, F SHARP MAJOR"
"Chopin,  Frédéric","FANTASIA FOR PIANO, F MINOR, OP. 49"
"Auber,  Daniel-François","MANON LESCAUT"
"Lachner,  Franz","FESTIVAL OVERTURE, D MAJOR, OP.30"
"Liszt,  Franz","TASSO: LAMENTO E TRIONFO, (SYMPHONIC POEM NO. 2)"
"Litolff,  Henry  Charles","SOUVENIRS D'HARTZBERG (MEDITATIONS MUSICALES)"
"Donizetti,  Gaetano","MARIA PADILLA"
"Abt,  Franz","ICH DENKE NUR AN DICH (I EVER THINK OF THEE)"
"Haertel,  A.","MEIN! (MINE!): CHORUS FOR MALE VOICES"
"Vieuxtemps,  Henri","CONCERTO, VIOLIN, NO. 2, F SHARP MINOR, OP.19"
"Beethoven,  Ludwig  van","LEONORE OVERTURE NO. 1"
"Liszt,  Franz","FESTKLÄNGE (SYMPHONIC POEM NO. 7)"
"Kummer,  Friedrich  August","GRANDE FANTASIE RUSSE FOR CELLO"
"Liszt,  Franz","CONCERT-PARAPHRASE ON THEMES FROM RIGOLETTO"
"Schumann,  Robert","SYMPHONY NO. 3, E FLAT MAJOR, OP. 97 (RHENISH)"
"Kreutzer,  Conradin","APPROACH OF SPRING (FRUHLINGS-NAHEN)"
"Schreiber,  Louis","FANTASIA CAPRICIOSA"
"Haydn,  Franz  Joseph","SYMPHONY NO. 102, B FLAT MAJOR"
"Schubert,  Franz","NACHTHELLE, D.892"
"Eisfeld,  Theodore","ELEGIE CANTABILE FOR CORNET"
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 20, D MINOR, K.466"
"Schumann,  Robert","GENOVEVA OVERTURE, OP. 81"
"Mollenhauer,  Edward","CONCERTO, VIOLIN, A MAJOR"
"Tedesco,  Ignaz  Amadeus","LE PASSE, SECOND NOCTURNE, PIANO, F MINOR, OP. 47"
"Lubeck,  Ernst","GRANDE POLONAISE, F MAJOR"
"Saar,  Wiiliam","TANNHAUSER: ILLUSTRATION DRAMATIQUE"
"Mendelssohn,  Felix","ERSTE WALPURGISNACHT, DIE, OP.60"
"Lucas,","NATIONAL OVERTURE"
"Handel,  George  Frideric","JUDAS MACCABAEUS"
"Traditional,","YANKEE DOODLE (VIOLIN) (ARR. Vieuxtemps)"
"Shaw,  David  T.","COLUMBIA, GEM OF THE OCEAN"
"Wallace,","COMING OF THE FLOWERS"
"Hopkins,  Charles  Jerome","GOD SAVE OUR FATHERLAND"
"Otten,  William  F.","TO ARMS! TO ARMS!"
"Traditional,","AMERICA"
"Handel,  George  Frideric","ISRAEL IN EGYPT"
"Wallace,","THE UNION, RIGHT OR WRONG"
"Bristow,  George  Frederick","VIVANDIERE SONG"
"Mills,  Sebastian  Bach","PARDON LE PLOERMEL (FANTASIE)"
"Bristow,  George  Frederick","RIP VAN WINKLE: GOD OF BATTLES"
"Verzano,","VALSE DU CONCERT"
"Mercadante,  Giuseppe  Saverio","ILLUSTRI RIVALI: IN TERRA CI DIVISERO"
"Anthem,","UNITED STATES"
"Chopin,  Frédéric","CONCERTO, PIANO, NO. 2, F MINOR, OP. 21"
"Berlioz,  Hector","ROMAN CARNIVAL OVERTURE (LE CARNAVAL ROMAIN)"
"Henselt,  Adolf  Von","VARIATIONS DE CONCERT ON THEMES BY DONIZETTI"
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 35, D MAJOR, K.385, ""HAFFNER"""
"Stradella,  Alessandro","PIETA, SIGNORE"
"Beethoven,  Ludwig  van","CONCERTO, VIOLIN, D MAJOR, OP.61"
"Donizetti,  Gaetano","L'AMOR FUNESTA"
"Beethoven,  Ludwig  van","CONCERTO, PIANO, NO. 3, C MINOR, OP. 37"
"Brahms,  Johannes","SERENADE NO. 2 IN A MAJOR, OP. 16"
"Liszt,  Franz","POLONAISE, E MAJOR, PIANO"
"Eisfeld,  Theodore","LA SOLITUDE, NOCTURNE FOR FRENCH HORN"
"Goldbeck,  Robert","MORCEAUX SYMPHONIQUES, DEUX"
"Schumann,  Robert","MYRTHEN, OP. 25"
"Neukirchner,  Wenzel","LANDLICHE SCENE, FANTASY FOR BASSOON"
"Lipinsky,  Karl  Joseph","CONCERTO MILITAIRE, VIOLIN"
"Liszt,  Franz","ORPHEUS (SYMPHONIC POEM NO. 4)"
"David,  Ferdinand","CONCERTINO FOR TROMBONE, OP. 4"
"Schubert,  Franz","WANDERERFANTASIE, D.760 (ORCH) (ARR. Liszt)"
"Chopin,  Frédéric","BALLADE, A FLAT MAJOR, OP.47"
"Hiller,  Ferdinand","CHRISTMAS NIGHT'S DREAM, A"
"Eisfeld,  Theodore","SCENA ITALIANA DI CONCERTO"
"Bach,  Johann  Sebastian","PRELUDE AND FUGUE, A MINOR (UNSPECIFIED)"
"Beethoven,  Ludwig  van","LEONORE OVERTURE NO. 3, OP. 72B"
"Schubert,  Franz","SCHONE MULLERIN, DIE, D.795"
"Beethoven,  Ludwig  van","CONCERTO, PIANO, NO. 4, G MAJOR, OP. 58"
"Rubinstein,  Anton","CONCERT OVERTURE, B FLAT MAJOR, OP. 60"
"Clapisson,  Antoine  Louis","ROMANCE, MY SOUL TO GOD, MY HEART"
"Chopin,  Frédéric","IMPROMPTU FANTASIE, E-FLAT MAJOR, OP. 66"
"Mills,  Sebastian  Bach","TARENTELLE"
"Beriot,  Charles-Auguste  de","CONCERTO, VIOLIN, NO. 2, OP. 32"
"Bergner,  Frederick","REVERIE"
"Beethoven,  Ludwig  van","ADELAIDE, OP. 46"
"Beethoven,  Ludwig  van","ROMANCE, SOLO FOR CORNET A PISTON"
"Heller,  Stephen [István]","PROMENADES D'UN SOLITAIRE, OP.80, NO. 2"
"Hiller,  Ferdinand","CONCERTO, PIANO, F SHARP MINOR, OP.69"
"Gounod,  Charles","FAUST: GRAND WALTZ (ARR. Liszt)"
"Eisfeld,  Theodore","VARIATIONS DE BRAVURA, FOR SOPRANO"
"Wagner,  Richard","FLIEGENDE HOLLANDER [HOLLÄNDER], DER"
"Goldbeck,  Robert","MORCEAU SYMPHONIQUE NO. 4 (LE SONGE)"
"Mason,  William","BALLADE FOR PIANO, B MAJOR, OP. 12"
"Artot,  Alexandre","CONCERT VARIATIONS FOR SOPRANO AND VIOLIN"
"Liszt,  Franz","FAUST SYMPHONY"
"Esser,  Heinrich","TREUE LIEBE (TRUE LOVE)"
"Evers,  Carl","AN DEN STURMWIND (TO THE STORM)"
"Haydn,  Franz  Joseph","SYMPHONY NO.  99, E FLAT MAJOR"
"Bristow,  George  Frederick","COLUMBUS"
"Schreiber,  Louis","SONG WITHOUT WORDS"
"Flotow,  Friedrich  Von","MARTHA"
"Hohnstock,  Carl","HAIL COLUMBIA: OVERTURE"
"Weber,  Carl  Maria Von","POLONAISE BRILLANTE FOR PIANO, OP.72 (ARR. Liszt)"
"Abt,  Franz","DIE STILLE WASSERROSE"
"Ritter,  Frederic  Louis","CONCERTO, CELLO"
"Mendelssohn,  Felix","FESTGESANG AN DIE KUNSTLER"
"Alard,  Jean  Delphin","SOUVENIRS DE MOZART, FANTASIE FOR VIOLIN"
"Haydn,  Franz  Joseph","SYMPHONY NO. 103, E FLAT MAJOR (DRUMROLL)"
"Palestrina,  Giovanni  Da","FRATRES EGO ENIM ACCEPI"
"Bargiel,  Woldemar","MEDEA, OP. 22"
"Liszt,  Franz","GRAUNER MASS: CREDO"
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 21, C MAJOR, K.467"
"Liszt,  Franz","MAZEPPA (SYMPHONIC POEM NO. 6)"
