"Hastreiter, Helene"
"Ford"
"Groebl, Marie"
"Heinrich, Julia"
"Riddle, George"
"Dufft, Carl E."
"Wilson, John H."
"Coletti, Filippo"
"Juch, Emma"
"Campbell, Helen D."
"Lankow, Anna"
"Ludwig, William"
"Kelin, Ida"
"Franconi"
"Mandeville"
"Milde, von der"
"Herbert, Victor"
"Aus der Ohe, Adele"
"Moore, Laura"
"Wehner, Carl"
"Guricks, Camille"
"Elmblad, Johannes"
"Alvary, Max"
"Griswold"
"Mees, Arthur"
"Edmands, Gertrude"
"Lawton, W. H."
"Fischer, Emil"
"Dannreuther, Gustav"
"Taubmann"
"Mittelhauser"
"Rosenthal, Moritz"
"Alves, Carl"
"Franko, Nahan"
"Bettaque, Katti"
"Kelly, Anna Luella"
"Dennison, William"
"Doenhoff von"
"MacPherson"
"Goettich, Hans"
"Lambert, Alexander"
"Clarke, Charles"
"Dempsey"
"D'Albert, Eugen"
"Joubert"
"Ford, Estelle"
"Osborn, S. F."
"Reichmann, Theodor"
"Vere, Clementine de"
"Bulow, Hans Von"
"Metropolitan Musical Society"
"Rieger, William H."
"Burmeister, Richard"
"Patrick-Walter, Jennie"
"Lavin, W. J."
"Ritter-Goetze, Marie"
"Schoeller, Pauline"
"Zeisler, Fannie Bloomfield"
"Wyman, Walter C."
"Mielke, Antonie"
"Dippel, Andreas"
"Ebert, Thomas"
"Bushnell, Ericsson F."
"Behrens, Conrad"
"Smith, Gerrit"
"Kronold-Koert, Koert Kronold"
"Clapper-Morris"
"Brodsky, Adolph"
"Nordica, Lillian"
"Paderewski, Ignace Jan"
"Scharwenka, Franz Xaver"
"Morgan, Geraldine"
"Kaschoska"
"Pachmann, Vladimir De"
"Manoly, Ludwig E."
"Busoni, Ferruccio B."
"Wolf, Johannes"
"Castellano, Eugenia"
"Hekking, Anton"
"Hollman, Joseph"
"Montegriffo, Agostino"
"Mendelssohn Quartette Club"
"Metcalfe, James"
"Hawley, Charles"
"Burckard, Martha"
"Blauvelt, Lillian Evans"
"Middecke-Merckens, Josefa"
"Luckstone-Myers, Lena"
"Greene, Plunket"
"Poole-King, Clara"
"Maconda, Charlotte"
"Fleming, Katherine"
"Marteau, Henri"
"Vicini, Eugenio"
"Novacek, Ottokar"
"Desvignes, Carlotta"
"McKinley, J. H."
"Bispham, David Scull"
"Wolf, Sigrid"
"Hegner, Anton"
"Plancon [Plançon], Pol (Paul-Henri)"
"Damrosch, Walter"
"Pevny, Olga"
"Wyman, Julia L."
"Thomson, Cesar"
"Ysaye, Eugène"
"MacDowell, Edward A."
"Henderson, David G."
"Mills, Watkin"
"Campanari, Guiseppi"
"Sealy, Frank L."
"Sutro, Rose"
"Sutro, Ottilie"
"Simonson, Frieda"
