"Venue"
"Rio Theatre"
"Aula Magna"
"Concha Acustica"
"Club Alianza"
"Teatro Colón"
"Teatro Colombia"
"Teatro Junín"
"Teatro Municipal"
"Teatro 9 de Octubre"
"Teatro Bolivar"
"Municipal Theatre"
"Teatro Astor"
"Municipale de Vina del Mar"
"Caupolicán"
"Teatro Gran Rex"
"Estudio Auditorio"
"Teatro Rivera Indarte"
"Anhangabau"
"Maracanazinho"
"Palacio de Bellas Artes"
"Auditorio Nacional"
"Veterans' Memorial Auditorium"
"Dwight Morrow High School"
"Public Special"
"Herodes Atticus Theatre"
"Court of the Altar"
"Acik Hava Tiyatrosu"
"Y.M.C.A. Stadium"
"Festspielhaus"
"Filharmonia Narodowa"
"Sala Kongresowa"
"Tchaikovsky Conservatory Hall"
"Bolshoi Hall"
"Bolshoi Zal"
"Kurhaus"
"Rheinhalle"
"Staedtischer Saalbau"
"Kurhaus-Saal"
"International Fair Hall"
"Palais de Chaillot"
"Deutsches Museum"
"Dom Sindikatu"
"Centar"
"Teatro La Fenice"
"Musikhalle"
"Hochschule Fuer Musik"
"Folketeatret"
"Small Fair Hall"
"Concert House"
"Konserthuset"
"White House"
"Convention Hall Ballroom"
"Red Rocks Theater"
"Queen Elizabeth Theatre"
"P.I. Centennial Building"
"Waikiki Shell"
"Berkeley Community Theatre"
"Convention Center"
"Balboa Park Bowl"
"Hollywood Bowl"
"Opera House"
"Ellis Auditorium"
"Ovens Auditorium"
"Senders Freies Berlin"
"Colden Auditorium, Queens College"
"William Neal Reynolds Coliseum"
"Bunka Kaikan"
"Tokyo Gymnasium"
"Sankei Hall"
"Osaka Gymnasium"
"Kodaira Memorial Hall"
"Romig Hill Auditorium"
"Winnipeg Auditorium"
"O'Keefe Centre"
"Delaware Valley Garden"
"Philharmonic Hall"
"Free Trade Hall"
"Dade County Auditorium"
"Miami Beach Auditorium"
"War Memorial Auditorium"
"Monterey County Fairgrounds"
"Auditorium Arena"
"Temple of Music"
"Mershon Auditorium"
"Civic Arena"
"Civic Center"
"CBS Studio"
"Washington Avenue Armory"
"Place des Arts"
"L.I. Festival Tent"
"Sheep Meadow"
"Prospect Park"
"NY Botanical Garden"
"Crocheron Park"
"Clove Lake Park"
"Villanova University"
"Jorgensen Auditorium"
"CWP Auditorium"
"Assembly Hall"
"Jubilee Auditorium"
"Centennial Hall"
"Halifax Forum"
"St. Regis Hotel"
"Half Hollow Hills HS Auditorium"
"Koninklijke Opera"
"Kultur- und Kongresszentrum Luzern"
"Binyanei Ha'ooma"
"Roman Theater"
"Teatro Comunale"
"Theatre de L'Opera"
"Salle du Pavillon"
"Beethovenhalle"
"Jahrhunderthalle Hoechst"
"Tivoli Gardens Concert Hall"
"Art Museum"
"Garden State Arts Center"
"Yale Bowl"
"National Arts Centre"
"Meadowbrook Music Festival"
"C.Y. Stephens Auditorium"
"Edman Memorial Chapel"
"Union Theater"
"Milwaukee War Memorial PAC"
"The Sport Center"
"Kyoto Kaikan"
"Concert Hall (Aichi)"
"Fuji Gakuen Hall"
"Felt Forum"
"Co-op City"
"Electric Industry Center"
"National Maritime Union"
"Cunningham Park"
"Van Cortlandt Park"
"Orrie De Nooyer Auditorium"
"John F. Kennedy Center for the Performing Arts"
"The Public Theater"
"High School of Music & Art"
"Juilliard - Juilliard Theater"
"Loeb Student Center"
"Adlai Stevenson High School"
"North Meadow"
"Filene Center"
"Festival Theater"
"University Fieldhouse"
"Dane County Memorial Coliseum"
"Hilton Coliseum"
"Century II Convention Hall"
"Clowes Memorial Hall"
"Community Auditorium (Emens College)"
"Honeywell Memorial Center"
"Hall of Music (Edward C. Elliott)"
"Alice Tully Hall"
"The Cathedral Church of Saint John the Divine"
"Schimmel Center for the Arts"
"Staten Island Community College"
"Memorial Coliseum"
"McAlister Auditorium"
"Byrnes Auditorium"
"Wait Chapel Auditorium"
"Cameron Indoor Stadium"
"Avery Fisher Hall"
"Teatro Imperio"
"Palacio de Congresos"
"Palau de la Musica Catalana"
"Teatro Perez Galdos"
"Teatro Guimerá"
"Van Wezel Performing Arts Hall"
"Festival Theatre"
"NHK Hall"
"Shimin Kaikan (Nagoya)"
"Poly Preparatory Country Day school"
"Marine Park"
"St. Baafs Kathedraal"
"Stadthalle"
"Kultur und Kongresszentrum Liederhalle Stuttgart ( Beethovensaal)"
"Kultur- und Kongresszentrum am Rosengarten"
"Salle Pleyel"
"Cathedrale de Chartres"
"Nassau Coliseum"
"Jackie Gleason Theater"
"Peabody Auditorium"
"Edmunds Activities Center"
"Houtrusthallen"
"Halle Muensterland"
"Deutschlandhalle"
"Kongresszentrum"
"Brucknerhaus"
"Jardin des Tuileries"
"Pine Knob Theater"
"Muny Opera"
"Arie Crown Theater"
"Artpark"
"Performing Arts Center"
"Finlandia Hall"
"Stadsteater"
"Bolshoi Theatre"
"Westchester Premier Theatre"
"Eisenhower Hall"
"Eisenhower Park"
"Library of the Performing Arts"
"Calderone Theater"
"Mid-Hudson Civic Center"
"Kenmin Kaikan"
"Fumonkan Hall"
"Shimin Kaikan"
"Heckscher State Park"
"Teatro Nacional"
"Baseball Stadium"
"Falconbridge Club"
"Boettcher Concert Hall"
"Dee Events Center"
"Concord Pavilion"
"Sejong Center for the Performing Arts"
"Snug Harbor"
"Tanglewood"
"Studio 8H"
"Miami Beach Theater"
"Abyssinian Baptist Church"
"Clemens Center"
"Crouse-Hinds Theater"
"Pine Knob Music Theater"
"Poplar Creek Music Theater"
"Great Lawn"
"Superstar Theatre"
"Palais des Congrès"
"Lehman Center for the Performing Arts"
"Teatro Juárez"
"Sala Ollin Yoliztli"
"Sala Nezahualcóyotl"
"Westchester Community College"
