"","conductorName"
"185806","Johnson, Thor"
"185970","Sevitzky, Fabien"
"186777","Schenk, Robert C."
"187603","Villa-Lobos, Heitor"
"187615","Rodzinski, Artur;  Villa-Lobos, Heitor"
"187828","Thomson, Virgil"
"188072","Kreutz, Arthur"
"188671","Windingstad, Ole"
"190672","Goodman, Al"
"191156","Romberg, Sigmund"
"191355","Abravanel, Maurice"
"192658","Hendl, Walter"
"193100","Harris, Roy"
"193689","Rodzinski, Artur;  Hendl, Walter"
"193937","Fendler, Edvard"
"194567","Bourdon, Rosario"
"195081","Bonime, Josef"
"195251","Broekman, David"
"195873","Antek, Samuel"
"195929","Autori, Franco"
"196065","Parmet, Simon"
"196156","Forstat, Milton"
"196310","Bakaleinikoff, Vladimir"
"196630","Landau, Siefrried"
"197244","Cortez, Mario"
"197407","Kullmer, Ann"
"197789","D'Artega, (Alfonso)"
"198142","Neuman, Herman"
"198182","Nosco, Henri"
"198318","Sternberg, Jonathan"
"198500","Katims, Milton"
"198510","Katims, Milton;  Steiner, George"
"198535","Steiner, George"
"198595","Brummer, Andre"
"198673","Shefter, Bert"
"200013","Rudnitsky, Antin"
"200253","Plotnikoff, Eugene;  Rudnitsky, Antin"
"200273","Baron, Sydney"
"200515","Lavalle, Paul"
"201381","Halasz, Laszlo [László]"
"205378","Rosenthal, Manuel"
"205784","Munch, Charles"
"207930","Schwieger, Hans"
"208001","Korn, Richard"
"208105","Zeller, Robert"
"210239","Walter, Bruno;  Hendl, Walter"
"211641","Leide, Enrico"
"212611","Lawrence, Robert"
"214371","Buketoff, Igor"
"216108","Reiner, Fritz;  Rachlin, Ezra"
"216157","Rachlin, Ezra"
"216955","Kostrukoff, Nicholas"
"218014","Isola, Salvatore dell'"
"219885","De Sabata, Victor"
"220789","Carvalho, Eleazar De"
"221109","Cork, Frank"
"221233","Balazs, Frederic"
"221251","Goberman, Max"
"221271","Levine, Maurice"
"224814","MacMillan, Ernest"
"226055","Rudolf, Max"
"226835","Engel, Lehman"
"229128","Cantelli, Guido"
