519,3
520,26
521,6
461,24
522,29
523,3
524,2
525,3
526,6
527,2
528,2
529,29
530,8
531,19
532,8
533,39
534,19
533,40
535,25
536,2
537,29
538,8
333,2
539,3
540,26
541,29
542,26
543,8
473,24
544,19
545,19
546,8
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,25
556,15
557,29
558,3
559,4
560,4
561,2
562,2
563,4
564,24
565,3
566,3
567,3
568,3
569,2
570,3
571,4
572,29
573,3
574,3
575,8
465,27
576,29
577,4
578,6
579,27
580,29
581,15
582,15
583,4
584,3
585,15
586,15
587,3
588,3
589,6
590,24
591,3
592,3
593,16
594,3
595,4
596,41
597,41
598,21
599,3
600,16
601,15
602,15
603,15
604,15
605,42
606,15
607,3
608,15
609,15
610,4
611,3
496,20
612,2
613,29
614,15
615,3
616,3
617,4
461,32
618,15
619,29
620,6
621,4
622,15
623,3
624,3
625,15
626,2
627,4
628,15
629,24
630,4
631,4
632,4
633,15
634,3
635,15
585,2
636,8
637,8
638,2
639,26
640,15
641,8
642,3
643,2
644,29
645,15
646,3
647,15
648,15
649,15
650,15
651,15
652,15
653,24
654,19
655,2
656,24
657,8
658,2
659,3
660,2
661,8
662,27
663,2
664,3
665,3
666,3
667,5
668,2
669,19
670,9
671,9
672,29
673,8
674,2
555,23
675,15
676,15
677,15
678,4
679,3
680,21
681,4
682,3
683,4
684,4
685,3
686,38
687,4
688,3
689,2
690,43
691,3
692,3
693,6
694,2
638,26
695,8
696,24
697,19
698,24
699,2
700,4
701,3
702,3
703,4
704,3
705,3
706,3
707,2
708,26
709,24
710,4
711,20
712,8
713,24
714,2
715,2
716,29
711,25
717,3
718,29
719,8
720,25
580,2
580,26
721,3
722,26
723,29
724,24
725,19
726,6
727,8
728,2
729,14
730,14
731,44
732,26
733,2
465,45
734,9
735,11
736,25
737,2
738,19
739,4
740,4
741,10
742,46
743,6
744,2
745,18
746,15
747,3
748,15
749,4
750,6
751,15
752,3
753,15
754,15
755,19
756,2
757,2
758,18
759,18
760,18
761,8
762,8
763,8
764,19
765,2
766,8
767,19
768,47
769,4
770,3
771,3
772,6
773,2
774,3
775,27
555,20
776,8
751,24
777,3
778,3
779,8
780,29
781,5
782,19
367,26
783,24
784,48
785,8
786,27
787,25
788,25
789,2
790,29
768,45
791,27
792,15
793,2
794,2
795,2
796,2
797,18
798,18
799,18
800,18
801,8
802,8
803,8
764,24
804,8
805,13
805,49
806,2
807,3
808,2
809,4
810,27
811,26
812,2
813,2
814,4
815,6
816,50
817,50
818,50
819,50
820,51
821,51
822,8
823,8
824,3
825,15
104,4
826,15
827,15
828,4
829,3
830,4
798,29
831,3
832,2
833,4
834,15
835,2
836,24
837,19
838,3
839,8
840,15
841,3
842,4
843,15
844,2
845,15
846,3
555,52
847,29
818,8
787,23
848,15
849,3
850,25
851,19
852,2
853,18
854,2
855,29
856,8
857,19
858,27
859,3
860,8
861,25
862,2
863,9
864,15
865,18
866,18
867,53
868,3
869,2
870,2
871,3
872,2
508,45
873,2
874,19
875,15
876,15
877,29
878,8
879,3
880,3
881,24
882,3
883,5
884,10
885,29
886,4
887,2
888,8
889,2
890,29
891,3
892,3
893,29
894,3
895,12
896,4
897,26
872,13
898,6
899,3
900,27
718,13
901,13
902,13
903,29
904,25
905,23
906,51
907,15
908,15
909,15
910,3
811,15
811,18
911,8
912,4
913,24
914,29
915,4
877,26
916,10
729,44
917,2
918,6
919,14
920,3
921,12
922,25
923,6
924,8
904,23
925,4
926,15
927,3
928,16
929,3
897,2
930,15
930,24
931,54
932,4
933,4
934,5
935,6
936,11
937,7
938,2
939,3
848,29
940,19
941,46
942,46
943,46
944,46
945,3
890,15
946,24
947,19
948,3
949,4
950,2
951,3
952,4
953,4
900,3
954,2
955,3
956,2
957,3
958,46
959,2
960,3
961,3
962,3
963,8
964,3
965,3
966,4
967,4
968,3
969,3
970,4
724,15
724,13
971,29
972,2
973,3
974,43
975,3
976,2
977,3
923,4
978,3
979,2
980,2
901,8
981,2
982,24
983,3
984,6
985,2
986,3
987,26
988,3
989,29
990,25
991,25
992,29
993,27
994,14
995,14
996,44
997,2
998,2
999,3
1000,2
1001,2
1002,3
1003,2
1004,6
1005,3
1006,2
904,20
1007,2
1008,24
867,27
1009,3
1010,8
1011,2
1012,8
1013,29
1014,25
1014,23
1015,51
946,19
1016,24
1017,19
1018,8
1019,8
1020,24
1021,25
1022,4
1023,2
1024,3
1025,25
1026,8
1027,3
1028,8
1029,8
1030,24
1031,19
1032,25
1033,2
1034,3
1035,3
64,51
1036,3
1037,25
1038,3
1039,2
1040,3
1041,3
1042,4
1043,29
1044,16
1045,15
1046,15
1047,15
1048,15
1049,15
1050,15
1051,33
1052,33
1053,27
1054,3
1055,3
1056,2
1057,18
1058,8
1059,19
1060,20
1061,25
1062,6
1063,5
1064,15
1065,3
1066,2
1067,3
1068,46
1069,46
1070,46
1071,2
1072,29
1073,24
1074,2
1075,3
1076,2
1077,16
1078,25
1079,55
811,29
1080,4
1081,2
611,56
1082,2
1083,23
1084,3
1085,51
1086,32
1087,2
1088,8
1089,3
1090,4
1043,2
1091,4
1092,3
1093,29
1094,15
1095,15
1096,4
1097,2
1097,15
1098,4
1099,4
1100,3
1101,2
1102,25
1103,2
1104,8
1105,29
1106,57
1107,2
1108,29
1108,15
1109,3
1110,3
1111,3
1112,3
1113,10
1114,2
1115,25
1116,19
1117,8
1118,2
1119,2
1120,16
1121,5
1122,6
1123,2
1124,4
1125,9
1126,16
1127,25
1128,4
1129,3
1130,8
1131,24
1132,43
1133,13
1134,44
1135,2
1136,4
1137,4
1138,3
1139,58
1140,3
1141,15
1142,8
1143,21
1144,3
1145,4
1146,33
