"","workTitle"
"2842","LA CAVALCADE, ETUDE DE BRAVURA"
"2848","CONCERT VARIATIONS"
"2872","CONCERTO, PIANO, F MINOR, OP. 16"
"2884","FAUST OVERTURE, WWV 59"
"2890","NIOBE"
"2896","MORCEAU DE CONCERT, TWO PIANOS"
"2908","URIEL ACOSTA"
"2918","CREATION, THE, H.XXI:2"
"2922","RONDO PAPAGENO"
"2930","CONCERT OVERTURE, A MAJOR, OP.7"
"2956","INTRODUCTION AND ALLEGRO APPASSIONATO, OP. 92"
"2962","CHANT DES BELGES, OP. 101"
"2994","CONCERTO, CELLO"
"3002","MANFRED, OP.115"
"3006","GRAND FANTASIA FOR CELLO"
"3038","CONCERT SYMPHONY NO. 3, PIANO, OP.45"
"3042","IL BRAVO"
"3050","MERRY WIVES OF WINDSOR, THE"
"3054","SYMPHONY , E MAJOR"
"3078","CORIOLAN OVERTURE, OP. 62"
"3096","PROPHÈTE, LE"
"3128","CONCERTO, VIOLIN, NO.  8, A MINOR, OP. 47"
"3136","OVERTURE, SCHERZO, AND FINALE, OP.52"
"3140","DUET FOR VOICE AND VIOLIN"
"3152","SYMPHONY NO. 5, D MINOR, OP. 25"
"3196","QUARTET CONCERTO, OP. 131"
"3207","UBERALL DU"
"3218","FANTASIESTÜCK"
"3251","ASSEDIO DI CORINTO, L'"
"3286","FIERRABRAS, D.796"
"3298","RIENZI, WWV 49"
"3316","SYMPHONY NO. 104, D MAJOR (LONDON)"
"3346","SYMPHONY NO. 4, D MINOR, OP. 120"
"3352","CONSIDER THE LILLIES"
"3358","NOTTURNO FOR PIANO, E-FLAT MAJOR"
"3364","ETUDE, C MAJOR, OP. 23, NO. 2"
"3382","SYMPHONY NO. 3, F SHARP MINOR, OP.26"
"3392","CONCERTO, PIANO, A MINOR, OP. 54"
"3407","BEWUSTSEIN (REMEMBRANCE)"
"3412","CONCERT-PARAPHRASE ON THEMES FROM A MIDSUMMER NIGHT'S DREAM"
"3437","SERENADE UND ALLEGRO GIOJOSO, OP.43"
"3447","PRELUDES, LES (SYMPHONIC POEM NO. 3)"
"3452","TEMPEST, THE"
"3457","SPINNLIED, A FLAT MAJOR, OP. 51"
"3462","POLONAISES"
"3489","GRAND CAPRICE FOR PIANO ON AIRS FROM MARTHA"
"3492","LOHENGRIN"
"3495","DIE THRANE (THE TEAR)"
"3509","INFELICE, OP.94"
"3544","FESTIVAL POLONAISE, F SHARP MAJOR"
"3579","FANTASIA FOR PIANO, F MINOR, OP. 49"
"3583","MANON LESCAUT"
"3591","FESTIVAL OVERTURE, D MAJOR, OP.30"
"3611","TASSO: LAMENTO E TRIONFO, (SYMPHONIC POEM NO. 2)"
"3615","SOUVENIRS D'HARTZBERG (MEDITATIONS MUSICALES)"
"3619","MARIA PADILLA"
"3641","ICH DENKE NUR AN DICH (I EVER THINK OF THEE)"
"3671","MEIN! (MINE!): CHORUS FOR MALE VOICES"
"3723","CONCERTO, VIOLIN, NO. 2, F SHARP MINOR, OP.19"
"3729","LEONORE OVERTURE NO. 1"
"3741","FESTKLÄNGE (SYMPHONIC POEM NO. 7)"
"3744","GRANDE FANTASIE RUSSE FOR CELLO"
"3747","CONCERT-PARAPHRASE ON THEMES FROM RIGOLETTO"
"3756","SYMPHONY NO. 3, E FLAT MAJOR, OP. 97 (RHENISH)"
"3760","APPROACH OF SPRING (FRUHLINGS-NAHEN)"
"3764","FANTASIA CAPRICIOSA"
"3772","SYMPHONY NO. 102, B FLAT MAJOR"
"3776","NACHTHELLE, D.892"
"3780","ELEGIE CANTABILE FOR CORNET"
"3792","CONCERTO, PIANO NO. 20, D MINOR, K.466"
"3800","GENOVEVA OVERTURE, OP. 81"
"3804","CONCERTO, VIOLIN, A MAJOR"
"3808","LE PASSE, SECOND NOCTURNE, PIANO, F MINOR, OP. 47"
